id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,productDisplayName,colorgroup
23278,Men,Accessories,Watches,Watches,Off White,Winter,Casual,Maxima Ssteele Men Off White Watch,White
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,Ethnic,W Women Printed Beige Kurta,Brown
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,Casual,Scullers Men  Grey Waistcoat,Grey
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports,Nike Men's Incinerate MSL White Blue Shoe,White
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,Sports,Puma Men Long Logo Black Bermuda,Black
9452,Men,Apparel,Topwear,Shirts,Red,Fall,Formal,John Miller Men Stripes White Red Shirts,Red
38402,Women,Accessories,Belts,Belts,Black,Summer,Casual,Baggit Women Hood Dabang Black Belt,Black
44984,Women,Accessories,Watches,Watches,White,Winter,Casual,Maxima Women White Dial Watch,White
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal,Clarks Men Hang Work Leather Black Formal Shoes,Black
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,Ethnic,Vishudh Women Brown Kurta,Brown
59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal,Arrow Men Black Formal Shoes,Black
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Puma Men's Stripe Polo Black T-shirt,Black
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,Casual,Nike Women Purple Polo T-shirt,Purple
4943,Men,Apparel,Topwear,Shirts,White,Summer,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,White
11188,Men,Accessories,Watches,Watches,Silver,Winter,Casual,Carrera Men Dial steel finish strap Silver Watches,Grey
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,Wrangler Men Motor Rider Red T-Shirts,Red
59607,Women,Apparel,Saree,Sarees,Grey,Fall,Ethnic,FNF Pink & Grey Wedding Collection Sari,Grey
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,Puma Men Scribble Black Tshirts,Black
45258,Men,Accessories,Watches,Watches,Black,Winter,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,Black
42841,Women,Accessories,Bags,Handbags,Beige,Summer,Casual,French Connection Women Beige Handbag,Brown
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,Casual,Timberland Men Black Casual Shoes,Black
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,Casual,Vans Men Classic Slip-On Purple & Black Shoes,Purple
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,ADIDAS Men's Lowell White Silver Shoe,White
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,Do U Speak Green Men Blue Shorts,Blue
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,Casual,ID Men Red Shoes,Red
35913,Women,Accessories,Bags,Handbags,Black,Summer,Casual,Peperone Women Black & White Handbag,Black
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,Casual,Vans Men Khaki Shoes,Brown
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,Casual,Indigo Nation Men Reversible Bling Pink Shirts,Pink
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,Sports,Nike Women Black T-shirt,Black
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,ADIDAS Men Blue Sweatshirt,Blue
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,Manchester United Men Solid Red Tshirt,Red
54118,Women,Footwear,Shoes,Heels,Black,Winter,Casual,Rocia Women Black Flats,Black
2872,Women,Footwear,Shoes,Heels,Brown,Winter,Casual,Catwalk Women Leather Flats,Brown
49653,Women,Apparel,Topwear,Tops,Green,Summer,Casual,Mineral Women Green Top,Green
8574,Women,Footwear,Sandal,Sandals,Pink,Fall,Casual,Crocs Dora Boots Pink Sandals,Pink
16957,Men,Accessories,Eyewear,Sunglasses,Black,Winter,Casual,Image Men Sunglasses,Black
19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,Casual,Lotto Men XL Water Man Silver Slippers,Grey
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,Pink
43369,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,Casual,Reebok Men Black Possession Flip Flops,Black
48781,Women,Accessories,Jewellery,Pendant,Silver,Summer,Casual,Lucera Women Silver Pendant,Grey
44970,Men,Accessories,Watches,Watches,White,Winter,Casual,Maxima Men White Dial Analog Chronograph Watch,White
39524,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,Casual,Peter England Unisex Orange Sleeve Bag,Orange
33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,Puma Men Axis White & Grey Sports Shoes,White
58513,Women,Apparel,Topwear,Tops,Off White,Summer,Casual,Tonga Women Maroon Top,White
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,Casual,Femella Women Brown Scarf,Brown
52029,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Summer,,Just Natural Unisex Charcoal Rain Jacket,Brown
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,ADIDAS Men's Twelve Faster T-shirt,Black
39716,Women,Apparel,Dress,Dresses,Blue,Summer,Casual,Arrow Woman Women Blue Dress,Blue
11940,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,Ganuchi Men Casual Black Sandals,Black
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Indigo Nation Men Printed Black T-shirt,Black
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,Sports,Urban Yoga Women Blue Skirt With Leggings,Blue
34009,Girls,Apparel,Topwear,Tops,Black,Summer,Casual,Gini and Jony Girls Black Top,Black
19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,Nike Men Air Rift MTR White Casual Shoe,White
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,ADIDAS Men White Corona Sports Shoes,White
22950,Unisex,Accessories,Watches,Watches,Black,Winter,Casual,Fastrack Unisex Black Dial Watch 9915PP13,Black
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,Casual,Vans Men Blue Era Scilla Plaid Shoes,Blue
8746,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,Casual,Crocs Kids Navy Blue Clogs,Blue
9694,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Classic Polo Men Vulcan White Polo Tshirts,White
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,Sports,Fila Men Destiny Grey Sports Shoes,Grey
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,Sports,ADIDAS Men Blue Chill Sports Shoes,Blue
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,Casual,Turtle Check Men Yellow Shirt,Yellow
41268,Men,Accessories,Wallets,Wallets,Black,Summer,Casual,Arrow Men Black Wallet,Black
11518,Women,Footwear,Shoes,Heels,Grey,Winter,Casual,Catwalk Women Gun Metal Grey Heels,Grey
14856,Women,Accessories,Wallets,Wallets,Beige,Summer,Casual,United Colors of Benetton Women Solid Beige Wallets,Brown
33648,Men,Footwear,Sandal,Sandals,Brown,Summer,Casual,Lotto Men Ridge Brown Sandals,Brown
59297,Men,Apparel,Topwear,Shirts,White,Fall,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,White
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,Formal,Scullers For Her Charcoal Blazer,Black
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,Casual,Jealous 21 Women Black Jeans,Black
49839,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,Casual,iPanema Women Red Flip Flops,Red
31923,Women,Accessories,Bags,Handbags,Blue,Summer,Casual,Fabindia Women Blue Silk Sling Bag,Blue
2618,Women,Footwear,Shoes,Flats,Silver,Spring,Casual,Carlton London Women Silver Wedge Sandal,Grey
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,Ethnic,Sushilas Women Printed Green Kurta,Green
49005,Women,Accessories,Jewellery,Ring,Silver,Summer,Casual,Lucera Women Silver Ring,Grey
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,Blue
13841,Unisex,Accessories,Watches,Watches,White,Winter,Casual,ADIDAS Unisex Three Small Dials White Watches,White
28200,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,Metallic
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,ADIDAS Kids Adispeed Black Sports Shoes,Black
7158,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,Scullers Men  Green Check Shirt,Green
18495,Men,Footwear,Sandal,Sandals,White,Fall,Casual,Puma Men Fashion Cat White Slipper,White
8110,Men,Accessories,Watches,Watches,Black,Winter,Casual,Fastrack Men Economy 2 Analg Black Watch,Black
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,Blue
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,Sports,Puma Men's Large Logo Graphic Black T-shirt,Black
39140,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,Ethnic,Aneri Women Black & Maroon Salwar Suit,Black
20851,Women,Accessories,Bags,Clutches,Red,Winter,Casual,Spice Art Women Ribbon Embroidery Red Clutch,Red
41866,Men,Footwear,Sandal,Sandals,Beige,Fall,Casual,Estd. 1977 Men Beige & Green Sandals,Brown
58177,Women,Accessories,Bags,Handbags,Brown,Summer,Casual,Rocky S Women Brown Handbag,Brown
44528,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,Coolers Men Black Sandals,Black
16392,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,Levis Men Check Red Shirts,Red
51455,Women,Apparel,Topwear,Shrug,Pink,Summer,Casual,Tonga Women Pink Printed Shrug,Pink
17240,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,Black
47530,Women,Footwear,Shoes,Flats,Copper,Winter,Casual,Portia Women Copper-Toned & Brown Sandals,Metallic
6617,Men,Apparel,Topwear,Shirts,Black,Summer,Casual,Spykar Men Black and white Check Shirt,Black
12732,Unisex,Accessories,Bags,Backpacks,Black,Fall,Sports,Nike Unisex Swoosh Black Backpack,Black
3365,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Myntra Men's Brain Black T-shirt,Black
42042,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,White
23849,Men,Footwear,Shoes,Casual Shoes,Black,Fall,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,Black
43190,Women,Accessories,Watches,Watches,White,Winter,Casual,Fastrack Women White Dial Watch,White
48578,Men,Accessories,Jewellery,Bracelet,Steel,Summer,Casual,Revv Men Steel Bracelet,Grey
18208,Men,Accessories,Headwear,Caps,White,Fall,Casual,Manchester United Men Solid White Cap,White
54127,Women,Footwear,Shoes,Heels,Black,Winter,Casual,Rocia Women Black Heels,Black
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,Casual,Puma Men ducati logo tee Yellow Tshirts,Yellow
24250,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,Numero Uno Men White Casual Shoes,White
32335,Men,Accessories,Watches,Watches,Silver,Winter,Casual,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y,Grey
56670,Men,Accessories,Watches,Watches,Black,Winter,Casual,Maxima Men Black Dial Watch,Black
5092,Men,Apparel,Topwear,Tshirts,Purple,Summer,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,Purple
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,Blue
59638,Women,Apparel,Saree,Sarees,Green,Fall,Ethnic,FNF Green Wedding Collection Sari,Green
15517,Men,Footwear,Shoes,Casual Shoes,Red,Fall,Casual,Rockport Men LLandro Red Casual Shoes,Red
4140,Women,Footwear,Shoes,Casual Shoes,Green,Winter,Casual,Skechers Women Green Shoe,Green
36795,Men,Accessories,Watches,Watches,Silver,Winter,Casual,Maxima Men Ssteele Silver Dial Watch,Grey
40527,Men,Accessories,Watches,Watches,Gold,Winter,Casual,Titan Men Gold Dial Watch,Metallic
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,Formal,John Miller Men Solid Type Black Trousers,Black
24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,Locomotive Men Navy Blue Printed T-shirt,Blue
45869,Men,Accessories,Watches,Watches,Brown,Winter,Casual,Maxima Men Brown Dial Watch,Brown
11385,Women,Apparel,Topwear,Sweatshirts,Black,Fall,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,Black
53130,Women,Footwear,Shoes,Flats,Brown,Winter,Casual,Catwalk Women Brown Sandals,Brown
21510,Women,Accessories,Bags,Handbags,White,Winter,Casual,Kiara Women Graphiti White Handbag,White
51667,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,Casual,Louis Philippe Men Grey Sunglasses,Grey
22395,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,Mark Taylor Men Striped Blue Shirt,Blue
35322,Women,Accessories,Jewellery,Earrings,Silver,Winter,Ethnic,Fabindia Women Anusuya Silver Earrings,Grey
6425,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Lotto Unisex Canvas Black Check Shoe,Black
18806,Men,Accessories,Belts,Belts,Tan,Summer,Casual,Peter England Men Casual Tan Belt,Brown
23247,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal,Arrow Men Formal Black Shoe,Black
17072,Women,Accessories,Belts,Belts,Grey,Winter,Casual,Lino Perros Women Weaved  Grey Belt,Grey
31782,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,Lee Women Paula Blue Top,Blue
42270,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Vans Unisex Black & Grey Classic Shoes,Black
12500,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,United Colors of Benetton Men Short Black Shirts,Black
30650,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Nike Men Printed Black T-shirt,Black
21948,Women,Accessories,Bags,Handbags,Brown,Winter,Casual,Murcia Women Casual Brown Handbag,Brown
32563,Women,Apparel,Bottomwear,Trousers,Blue,Summer,Casual,ONLY Women directoire blue Trousers,Blue
40143,Girls,Apparel,Topwear,Tops,Blue,Summer,Casual,Gini and Jony Girls Pretty Blossom Blue Top,Blue
10633,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,Formal,Carlton London Men Formal Brown Formal Shoes,Brown
24406,Women,Apparel,Topwear,Kurtas,Red,Summer,Ethnic,Vishudh Women Red Printed Kurta,Red
4716,Unisex,Accessories,Watches,Watches,Black,Winter,Sports,ADIDAS Unisex Response ST Analogue Black Watch,Black
21174,Women,Apparel,Topwear,Tops,Beige,Fall,Casual,s.Oliver Women Stripes Beige Top,Brown
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,Sports,Nike Women Solid Pink Shorts,Pink
14293,Men,Apparel,Topwear,Tshirts,Blue,Fall,Casual,Classic Polo Men Stripes Blue Tshirts,Blue
47366,Women,Accessories,Bags,Handbags,Blue,Summer,Casual,Baggit Women Blue Bag,Blue
6041,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt,Blue
23623,Girls,Apparel,Topwear,Tops,Pink,Fall,Casual,Doodle Kids Girls Pink I love Shopping Top,Pink
17416,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,Lotto Men Atlantica Black Sports Shoe,Black
9835,Women,Apparel,Topwear,Tshirts,Grey,Fall,Casual,Little Miss Women Printed Grey T-shirt,Grey
29319,Unisex,Accessories,Bags,Backpacks,Red,Summer,Casual,ADIDAS Unisex Chicago Bulls Red Backpack,Red
7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,Casual,Jealous 21 Women Black Jegging,Black
12958,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,ADIDAS Men Sports Black Sports Shoes,Black
27283,Women,Apparel,Topwear,Kurtas,Magenta,Fall,Ethnic,Mother Earth Women Magenta Kurta,Purple
30234,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,Casual,Numero Uno Men Black Flip Flops,Black
9009,Women,Accessories,Bags,Handbags,Brown,Winter,Casual,Murcia Women Snake Print Bag Brown Handbags,Brown
3533,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt,Blue
42614,Women,Accessories,Jewellery,Jewellery Set,Gold,Winter,Casual,Estelle Women Earrings & Pendant Set,Metallic
12164,Women,Apparel,Topwear,Dupatta,Orange,Fall,Ethnic,Aurelia Women Voile Orange Dupatta,Orange
26351,Women,Accessories,Watches,Watches,White,Winter,Casual,DKNY Women White Dial Watch NY8472,White
17624,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,Sports,ADIDAS Men Solid Navy Blue Track Pant,Blue
47154,Girls,Apparel,Bottomwear,Capris,Black,Summer,Casual,Gini and Jony Girls Black Capris,Black
35574,Men,Footwear,Flip Flops,Flip Flops,Red,Summer,Casual,Gliders Men Esquire Red Flip Flops,Red
46086,Women,Footwear,Shoes,Sports Shoes,Lavender,Summer,Sports,ADIDAS Women Lavender Hagkok Sports Shoes,Purple
13284,Men,Apparel,Bottomwear,Shorts,Black,Fall,Casual,Gini and Jony Kids Boys Solid Black Shorts,Black
54543,Men,Footwear,Shoes,Sports Shoes,White,Fall,Casual,F Sports Men White Outlander Sports Shoes,White
26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,Formal,John Miller Men Dark Grey Trousers,Grey
3701,Women,Apparel,Topwear,Tshirts,Black,Summer,Casual,Tantra Women Flower Heart Black Long T-shirt,Black
29917,Men,Accessories,Watches,Watches,White,Winter,Casual,Police Men White Dial Watch PL12698JS,White
42426,Women,Apparel,Topwear,Kurtas,Sea Green,Summer,Ethnic,Aurelia Women Sea Green Kurta,Green
32751,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,FILA Men Liga II Black Shoes,Black
56214,Women,Accessories,Jewellery,Earrings,Gold,Winter,Casual,Estelle Women Gold Earrings,Metallic
10401,Women,Apparel,Topwear,Tops,Purple,Fall,Casual,Jealous 21 Women Uaine Purple Tops,Purple
40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,Blue
21346,Men,Accessories,Eyewear,Sunglasses,Gold,Winter,Casual,Pal Zileri Men Casual Gold Frame Sunglasses,Metallic
45603,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal,Arrow Men Black Formal Shoes,Black
4524,Men,Footwear,Shoes,Sports Shoes,Black,Summer,Sports,Puma Men's YugoRun Black White Shoe,Black
37223,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,United Colors of Benetton Women Blue Top,Blue
53766,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,Puma Men White and Navy Blue T-shirt,White
25520,Girls,Apparel,Topwear,Tops,White,Fall,Casual,Doodle Kids Girls City Chic White Top,White
32597,Women,Apparel,Topwear,Tops,Black,Summer,Casual,ONLY Women Black Top,Black
33445,Women,Accessories,Wallets,Wallets,Black,Summer,Casual,Baggit Women Lamboo Mayur Black Wallet,Black
57100,Women,Apparel,Topwear,Tops,Pink,Summer,Casual,Elle Women Dark Pink Top,Pink
36137,Women,Footwear,Shoes,Sports Shoes,Pink,Summer,Sports,Nike Women Free Run Pink Sports Shoes,Pink
41859,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,Estd. 1977 Men Black Sandals,Black
21180,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,Casual,ADIDAS Men Adi Cells Black Flip Flops,Black
39943,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,Casual,GAS Men Brown Count Casual Shoes,Brown
58148,Unisex,Accessories,Headwear,Caps,White,Fall,Casual,Puma Unisex White Cap,White
20052,Women,Accessories,Mufflers,Mufflers,Yellow,Fall,Casual,United Colors Of Benetton Women Yellow Muffler,Yellow
5630,Women,Footwear,Flip Flops,Flip Flops,Blue,Summer,Casual,ADIDAS Women's Adi Groove Blue Flip Flop,Blue
44517,Men,Footwear,Flip Flops,Flip Flops,Brown,Summer,Casual,Coolers Men Brown Pokar Flip Flops,Brown
47392,Women,Accessories,Bags,Handbags,Beige,Fall,Casual,Baggit Women Beige Bag,Brown
50325,Women,Apparel,Topwear,Kurtas,Navy Blue,Summer,Ethnic,Aurelia Women Navy Blue Kurta,Blue
8913,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports,Puma Men Cabana Racer Sketch White Sports Shoes,White
16530,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,Locomotive Men Check Red Shirt,Red
22705,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,Nike Men White Capri II Casual Shoe,White
7167,Men,Apparel,Topwear,Shirts,Purple,Fall,Casual,Scullers Men Scul Purple White Shirt,Purple
46240,Women,Apparel,Topwear,Tunics,White,Summer,Casual,Fusion Beats Women White Printed Tunic,White
27277,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,Mother Earth Women Blue Kurta,Green
13042,Women,Footwear,Shoes,Flats,Brown,Winter,Casual,Inc 5 Women Brown Heels,Brown
6889,Women,Apparel,Topwear,Jackets,Cream,Summer,Casual,Forever New Women Stone Cream Jacket,White
31312,Women,Apparel,Topwear,Kurtas,Peach,Summer,Ethnic,W Women Peach Kurta,Pink
12190,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,Basics Men Blue Slim Fit Checked Shirt,Blue
55657,Women,Footwear,Shoes,Heels,Gold,Winter,Casual,Catwalk Women Golden Wedges,Metallic
19578,Women,Apparel,Topwear,Tops,Purple,Summer,Casual,United Colors of Benetton Women Solid Purple Top,Purple
27879,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,Scullers For Her Women Blue Top,Blue
34452,Women,Footwear,Shoes,Flats,Copper,Winter,Casual,Rocia Women Copper Sandals,Metallic
6287,Men,Apparel,Topwear,Tshirts,Yellow,Summer,Casual,Classic Polo Men's Swiss Yellow T-shirt,Yellow
7355,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Tantra Men's Black Sabbath Navy T-shirt,Blue
46072,Men,Accessories,Belts,Belts,Black,Summer,Casual,Lino Perros Men Black Leather Belt,Black
22537,Men,Footwear,Sandal,Sandals,Tan,Summer,Casual,Gas Men Eldorado Tan Casual  Sandals,Brown
43500,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,French Connection Men White T-shirt,White
2627,Women,Footwear,Shoes,Flats,Silver,Fall,Casual,Carlton London Women Wedge Silver Sandal,Grey
27045,Women,Accessories,Bags,Clutches,Off White,Summer,Casual,Yelloe Off White Fur Zip Clutch,White
13270,Women,Apparel,Topwear,Tops,White,Fall,Casual,Palm Tree Kids Girls Printed White Tops,White
31120,Girls,Apparel,Topwear,Tops,Pink,Summer,Casual,Palm Tree Girls Pink Top,Pink
25712,Unisex,Accessories,Headwear,Caps,Blue,Summer,Sports,ADIDAS Unisex Blue Cap,Blue
11527,Men,Apparel,Topwear,Tshirts,Olive,Fall,Casual,United Colors of Benetton Men Olive Tshirts,Green
